movie_name,distributor,release_date,release_year,total_audience,log_total_audience,detail_url,genre,runtime_minutes,is_domestic,language,rating
Minyonlar,UIP,4 Eylül 2015,2015,964454,13.779317417085332,https://boxofficeturkiye.com/film/minyonlar--2011529,"Animasyon, 3 Boyutlu",91,0,Foreign,7 yaş altı izleyici kitlesi aile eşliğinde izleyebilir.
Sevimli Tehlikeli,WB,6 Şubat 2015,2015,911833,13.72321213825396,https://boxofficeturkiye.com/film/sevimli-tehlikeli--2012311,"Romantik-Komedi, Romantik",113,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Kara Bela,CGV Mars,18 Eylül 2015,2015,892643,13.70194200389106,https://boxofficeturkiye.com/film/kara-bela--2012137,Komedi,105,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Grinin Elli Tonu,UIP,13 Şubat 2015,2015,875585,13.68264751337401,https://boxofficeturkiye.com/film/grinin-elli-tonu--2011884,Romantik,125,0,Foreign,18 yaş ve üzeri izleyici kitlesi içindir.
Star Wars: Güç Uyanıyor,UIP,17 Aralık 2015,2015,1149329,13.95468885178888,https://boxofficeturkiye.com/film/star-wars-guc-uyaniyor--2012028,"Bilim-Kurgu, Fantastik, 3 Boyutlu",136,0,Foreign,7 yaş ve üzeri izleyici kitlesi içindir.
Son Mektup,Pin.,18 Mart 2015,2015,810138,13.60495988250761,https://boxofficeturkiye.com/film/son-mektup--2010900,"Tarihi, Savaş",122,1,Turkish,Genel İzleyici Kitlesi.
Labirent: Alev Deneyleri,TME,18 Eylül 2015,2015,752273,13.53085456896673,https://boxofficeturkiye.com/film/labirent-alev-deneyleri--2012474,"Bilim-Kurgu, Aksiyon, 3 Boyutlu",131,0,Foreign,13 yaş ve üzeri izleyici kitlesi içindir.
Açlık Oyunları: Alaycı Kuş Bölüm 2,TME,20 Kasım 2015,2015,745338,13.521593085750096,https://boxofficeturkiye.com/film/aclik-oyunlari-alayci-kus-bolum-2--2012414,"Macera, Aksiyon",137,0,Foreign,7 yaş ve üzeri izleyici kitlesi içindir.
Mission: Impossible - Rogue Nation,UIP,31 Temmuz 2015,2015,719045,13.48567922167099,https://boxofficeturkiye.com/film/mission-impossible-rogue-nation--2012027,"Macera, Aksiyon",131,0,Foreign,7 yaş ve üzeri izleyici kitlesi içindir.
Geniş Aile: Yapıştır,ChF,9 Ekim 2015,2015,718521,13.484950211631512,https://boxofficeturkiye.com/film/genis-aile-yapistir--2012884,Komedi,0,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Spectre,WB,6 Kasım 2015,2015,614444,13.328473072834733,https://boxofficeturkiye.com/film/spectre--2011901,"Macera, Aksiyon",148,0,Foreign,13 yaş ve üzeri izleyici kitlesi içindir.
6 Süper Kahraman,UIP,16 Ocak 2015,2015,610651,13.322280880197171,https://boxofficeturkiye.com/film/6-super-kahraman--2011600,"Animasyon, 3 Boyutlu",102,0,Foreign,Genel İzleyici Kitlesi.
Jurassic World,UIP,12 Haziran 2015,2015,602277,13.308472751352648,https://boxofficeturkiye.com/film/jurassic-world--2011705,"Gerilim, Fantastik, Aksiyon, 3 Boyutlu",124,0,Foreign,13 yaş ve üzeri izleyici kitlesi içindir.
Çarşı Pazar,Pin.,27 Şubat 2015,2015,582692,13.275414023845226,https://boxofficeturkiye.com/film/carsi-pazar--2012171,Komedi,97,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Marslı,TME,2 Ekim 2015,2015,563020,13.241070430469552,https://boxofficeturkiye.com/film/marsli--2012226,"Macera, Bilim-Kurgu, Aksiyon, 3 Boyutlu",144,0,Foreign,7 yaş ve üzeri izleyici kitlesi içindir.
Dab6e,CGV Mars,11 Eylül 2015,2015,536651,13.19310325531984,https://boxofficeturkiye.com/film/dab6e--2012576,Korku,160,1,Turkish,18 yaş ve üzeri izleyici kitlesi içindir.
Mandıra Filozofu: İstanbul,CF,13 Mart 2015,2015,508899,13.140004847552396,https://boxofficeturkiye.com/film/mandira-filozofu-istanbul--2012455,Komedi,109,1,Turkish,Genel İzleyici Kitlesi.
Ters Yüz,UIP,19 Haziran 2015,2015,489265,13.100659543960544,https://boxofficeturkiye.com/film/ters-yuz--2011725,"Animasyon, 3 Boyutlu",95,0,Foreign,Genel İzleyici Kitlesi.
Otel Transilvanya 2,WB,23 Ekim 2015,2015,483417,13.08863491419625,https://boxofficeturkiye.com/film/otel-transilvanya-2--2011768,"Animasyon, 3 Boyutlu",89,0,Foreign,Genel İzleyici Kitlesi.
Ali Kundilli,TME,20 Şubat 2015,2015,482917,13.087600075217969,https://boxofficeturkiye.com/film/ali-kundilli--2012458,Komedi,118,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Terminator: Genisys,UIP,26 Haziran 2015,2015,481477,13.084613741685857,https://boxofficeturkiye.com/film/terminator-genisys--2011859,"Bilim-Kurgu, Aksiyon",126,0,Foreign,13 yaş ve üzeri izleyici kitlesi içindir.
